index_name,index_ticker
CEEplus,ceeplus
GPWB-CENTR,^GPWBCENTR
INNOVATOR,innovator
WIG,WIG
WIG-CEE,WIG_CEE
WIG-Poland,WIG_POLAND
WIG-Ukraine,WIG_UKRAIN
WIG-banki,WIG_BANKI
WIG-budownictwo,WIG_BUDOW
WIG-chemia,WIG_CHEMIA
WIG-energia,WIG_ENERG
WIG-gry,WIG_GRY
WIG-górnictwo,WIG_GORNIC
WIG-informatyka,WIG_INFO
WIG-leki,WIG_LEKI
WIG-media,WIG_MEDIA
WIG-motoryzacja,WIG_MOTO
WIG-nieruchomości,WIG_NRCHOM
WIG-odzież,WIG_ODZIEZ
WIG-paliwa,WIG_PALIWA
WIG-spożywczy,WIG_SPOZYW
WIG.GAMES5,WIG_GAMES5
WIG.MS-BAS,WIG_MS_BAS
WIG.MS-ECM,WIG_MS_ECM
WIG.MS-FIN,WIG_MS_FIN
WIG140,WIG140
WIG20,WIG20
WIG20TR,WIG20TR
WIG30,WIG30
WIG30TR,WIG30TR
WIGdiv,WIGDIV
WIGdivplus,WIGDIVPLUS
WIGind,WIGIND
WIGmed,WIGMED
WIGtechTR,WIGTECHTR
mWIG40,MWIG40
mWIG40TR,MWIG40TR
sWIG80,SWIG80
sWIG80TR,SWIG80TR

